q_inv_angstrom,debye_radial_gpx,debye_kdt_gpx,prop_radial_gpx,prop_kdt_gpx
0,179.352881,160.215096,29389.422693,26232.887404
0.02,166.616099,151.383309,27298.315017,24785.538193
0.04,133.936424,127.548325,21934.492047,20880.043134
0.06,94.174005,95.524784,15412.380734,15634.423332
0.08,59.508036,63.403339,9733.129661,10375.40265
0.1,35.557888,37.452809,5817.212818,6129.824995
0.12,21.269316,20.291032,3486.449954,3324.82462
0.14,12.827998,10.986679,2109.797394,1805.37558
0.16,7.312664,6.657101,1206.212484,1097.406875
0.18,3.641331,4.428226,600.325534,729.849962
0.2,1.576085,2.676817,256.676351,438.166396
0.22,0.746652,1.132018,116.840805,180.10903
0.24,0.564602,0.171281,84.682772,19.219823
0.26,0.568917,0.023061,84.088394,-6.516472
0.28,0.5708,0.430359,83.747869,60.252236
0.3,0.535673,0.856032,77.885943,130.517724
0.32,0.461718,0.90778,65.993757,139.24979
0.34,0.363669,0.5862,50.140978,86.375976
0.36,0.277944,0.190628,36.095654,21.214237
0.38,0.232189,0.019406,28.454224,-7.023055
0.4,0.220387,0.134934,26.393239,11.982705
0.42,0.21863,0.362266,26.061123,49.411489
0.44,0.213138,0.476205,25.162386,68.154853
0.46,0.204567,0.392279,23.763566,54.306775
0.48,0.195013,0.207884,22.212683,23.939647
0.5,0.182212,0.087391,20.161255,4.151865
