q_inv_angstrom,debye_radial_kdelr1,debye_kdt_kdelr1,prop_radial_kdelr1,prop_kdt_kdelr1
0,170.09432,170.070877,60024.192495,60015.140337
0.02,163.226285,163.229902,57598.261686,57598.726583999996
0.04,144.167415,144.236354,50866.236232,50889.675269
0.06,117.02905,117.164997,41280.28419,41327.292612
0.08,87.141471,87.313539,30723.293111,30783.009608
0.1,59.447649,59.616485,20941.583399,21000.166876
0.12,37.261788,37.405194,13106.263105,13155.903743
0.14,21.789073,21.911344,7643.286629,7685.490617
0.16,12.428035,12.549132,4339.973598,4381.760542
0.18,7.55505,7.691058,2622.071083,2669.100842
0.2,5.367213,5.518239,1851.747285,1904.061534
0.22,4.454491,4.607857,1530.144987,1583.286387
0.24,3.988791,4.132107,1364.554226,1414.163085
0.26,3.619285,3.750973,1231.53507,1277.052491
0.28,3.255083,3.383993,1099.913316,1144.449412
0.3,2.887475,3.023602,967.559523,1014.631228
0.32,2.511348,2.656903,833.246127,883.635655
0.34,2.122264,2.270778,695.464072,746.897986
0.36,1.734447,1.877617,558.884669,608.441773
0.38,1.38208,1.517391,435.085262,481.87725
0.4,1.100568,1.232862,336.182314,381.908952
0.42,0.90559,1.04189,267.553859,314.686688
0.44,0.786334,0.929293,225.427327,274.903502
0.46,0.715008,0.860979,200.129108,250.66837
0.48,0.662818,0.805789,181.621581,231.10871
0.5,0.611276,0.748546,163.442893,210.924074
