q_inv_angstrom,debye_radial_plastocyanin,debye_kdt_plastocyanin,prop_radial_plastocyanin,prop_kdt_plastocyanin
0,186.836133,187.070581,123269.563268,123418.799743
0.02,182.772539,183.006987,120607.252593,120756.489069
0.04,171.06382,171.298268,112933.891352,113083.127827
0.06,153.069864,153.304312,101134.395521,101283.631996
0.08,130.789167,131.023616,86510.297032,86659.533508
0.1,106.520472,106.75492,70560.678666,70709.915142
0.12,82.49886,82.733308,54746.17716,54895.413636
0.14,60.58076,60.815209,40284.104957,40433.341432
0.16,42.035025,42.269473,28011.726889,28160.963364
0.18,27.467648,27.702097,18335.771476,18485.007952
0.2,16.874663,17.109112,11264.99991,11414.236385
0.22,9.790211,10.024659,6504.863185,6654.099661
0.24,5.481305,5.715753,3583.135019,3732.371495
0.26,3.139653,3.374101,1974.464975,2123.70145
0.28,2.0321,2.266548,1198.831516,1348.067991
0.3,1.589693,1.824141,880.630371,1029.866847
0.32,1.43465,1.669098,767.581082,916.817557
0.34,1.359396,1.593844,718.295986,867.532462
0.36,1.279128,1.513576,672.245041,821.481517
0.38,1.179037,1.413485,615.784954,765.02143
0.4,1.071379,1.305827,554.210476,703.446951
0.42,0.969318,1.203767,494.499968,643.736444
0.44,0.877024,1.111472,438.577283,587.813759
0.46,0.790812,1.02526,383.826076,533.062551
0.48,0.704862,0.939311,326.663461,475.899937
0.5,0.616332,0.85078,265.78514,415.021616
