q_inv_angstrom,debye_radial_strip1_iso2,debye_kdt_strip1_iso2,prop_radial_strip1_iso2,prop_kdt_strip1_iso2
0,174.979838,115.280295,13956.286962,9199.060537
0.02,150.234398,107.025103,11983.917108,8540.600726
0.04,96.543608,85.108233,7703.84417,6792.377037
0.06,49.380526,56.735579,3942.923969,4529.003059
0.08,22.782066,30.191245,1820.61851,2411.119759
0.1,10.530964,11.391379,842.174897,910.617545
0.12,4.826013,2.008051,385.758096,161.014471
0.14,2.25492,-0.121767,179.394713,-9.988998
0.16,1.308624,1.088872,103.168379,85.690042
0.18,1.05874,2.322969,82.932261,183.560572
0.2,0.940672,2.181634,73.232415,171.995878
0.22,0.779459,1.050192,60.081977,81.611269
0.24,0.644375,0.015563,49.123075,-1.006362
0.26,0.519287,-0.227583,39.069966,-20.494672
0.28,0.373081,0.206041,27.405986,14.01015
0.3,0.276544,0.711659,19.710752,54.301804
0.32,0.257561,0.797883,18.193327,61.194206
0.34,0.250452,0.445838,17.638525,33.154984
0.36,0.214077,0.010982,14.732536,-1.504914
0.38,0.177942,-0.149471,11.829256,-14.316932
0.4,0.162375,0.02948,10.576501,-0.087376
0.42,0.154677,0.322577,9.941758,23.247726
0.44,0.153249,0.452522,9.806219,33.597726
0.46,0.151613,0.327679,9.682207,23.658122
0.48,0.134278,0.085786,8.320196,4.397814
0.5,0.111047,-0.058997,6.48647,-7.124446
