q_inv_angstrom,debye_radial_arginase,debye_kdt_arginase,prop_radial_arginase,prop_kdt_arginase
0,1,1,0,0
0.02,0.8243915323890458,0.9505071372651452,0.17534695945234716,0.04917859903796346
0.04,0.4836087780565311,0.8154813377663707,0.5156816517343218,0.183398262377827
0.06,0.2644595449117256,0.6297917770504619,0.734496882495582,0.36813362389245424
0.08,0.20127563679407806,0.4360579234938569,0.797311594510641,0.5611534203170133
0.1,0.16197077451676192,0.26957199216112004,0.8363517468804267,0.7274249849623279
0.12,0.09560215687172043,0.1486689064724056,0.902901969980783,0.8486471796479328
0.14,0.04008879052849041,0.07383169431153042,0.9588770625616625,0.924164328650341
0.16,0.013744177151576116,0.033966559201765216,0.9856176153400619,0.9648008119193765
0.18,0.003996559835073935,0.015073464892011341,0.99566531491515875,0.9843231697276026
0.2,0.0013863067431411997,0.006542753129298066,0.9984906219463566,0.9932295797713284
0.22,0.0020146577423713853,0.002936789127359233,0.9979330327887654,0.9969765001348001
0.24,0.0026676439547563434,0.0022657836923352455,0.9972755690836806,0.9976493697485318
0.26,0.0025505421043908213,0.0034144153574058238,0.9973946292482934,0.9964646904715134
0.28,0.0019813542854773937,0.004869710910692418,0.9979571714893346,0.994995250625159
0.3,0.0011737575397809954,0.00513547227619208,0.9987583672741972,0.9947483969435129
0.32,5.746658911649796e-4,0.0037428058974535647,0.9993765163005773,0.996176862646458
0.34,3.0261515596659793e-4,0.001562338325501736,0.9996717849360114,0.9983920613987216
0.36,1.9244145580156772e-4,3.544085057081078e-5,0.9997968721945161,0.9999453604871202
0.38,2.2500376174387922e-4,0,0.999777165155857,1
0.4,3.077709886739406e-4,0.0011004669189519066,0.9997005515686341,0.9989130210545172
0.42,3.0403300996111716e-4,0.0022020441778454894,0.9997063023680751,0.9978175291016007
0.44,2.220391579371571e-4,0.0023679049577818747,0.9997878757776374,0.9976484644766392
0.46,1.1563566043937135e-4,0.0015543258724090969,0.9998847287757544,0.9984520556654479
0.48,3.435073541267103e-5,5.065850960930199e-4,0.9999591176872304,0.9994902487712422
0.5,0,4.465367116796481e-5,1,0.9999503434048514
