q_inv_angstrom,debye_radial_arginase,debye_kdt_arginase,prop_radial_arginase,prop_kdt_arginase
0,62.091609,33.328981,-1187.390821,-637.17749
0.02,51.192359,31.679724,-979.229555,-605.832154
0.04,30.041463,27.180242,-575.204868,-520.283551
0.06,16.439828,20.992485,-315.440709,-402.537375
0.08,12.518279,14.536667,-240.870896,-279.510886
0.1,10.078798,8.988835,-194.524797,-173.53312
0.12,5.959588,4.959966,-115.520412,-96.268812
0.14,2.514116,2.466156,-49.07018,-48.135875
0.16,0.879021,1.137725,-17.325419,-22.235092
0.18,0.274029,0.508148,-5.3974,-9.791979
0.2,0.112022,0.223878,-2.043367,-4.115233
0.22,0.151021,0.103716,-2.705303,-1.72703
0.24,0.191549,0.081356,-3.485804,-1.298158
0.26,0.184281,0.119632,-3.344463,-2.053246
0.28,0.148954,0.168127,-2.676647,-2.989834
0.3,0.09883,0.176983,-1.725516,-3.147173
0.32,0.061647,0.130575,-0.991687,-2.236701
0.34,0.044762,0.057915,-0.641162,-0.824783
0.36,0.037924,0.007034,-0.492666,0.165255
0.38,0.039945,0.005853,-0.516061,0.200081
0.4,0.045082,0.042524,-0.607012,-0.492735
0.42,0.04485,0.079232,-0.600185,-1.190977
0.44,0.039761,0.084759,-0.503346,-1.298735
0.46,0.033157,0.057648,-0.388368,-0.786544
0.48,0.028112,0.022734,-0.300058,-0.124823
0.5,0.02598,0.007341,-0.251525,0.168431
