q_inv_angstrom,debye_radial_arginase,debye_kdt_arginase,prop_radial_arginase,prop_kdt_arginase
0,1,1,1,1
0.02,0.8243915348223391,0.9794797008044743,0.8246530417598396,0.9795076788781448
0.04,0.48360877977849115,0.9199184628910633,0.48431834911308225,0.9200257574340985
0.06,0.2644595462217466,0.8270555242391334,0.2655031178458065,0.8272803721479933
0.08,0.20127563520296274,0.7096296904118189,0.20268840562042817,0.7099908776026629
0.1,0.1619707629213534,0.5782702142631513,0.16364825359506074,0.5787638702579191
0.12,0.09560215862772053,0.4441833120220479,0.09709803016772424,0.44478332254747516
0.14,0.04008879123447288,0.31782568487312585,0.041122937484134876,0.3184875846085214
0.16,0.013744174054148227,0.20775216275054825,0.01438238464957319,0.208419793845426
0.18,0.003996558584587693,0.11979089293808694,0.004334685543478929,0.1204046743547561
0.2,0.0013862943936058913,0.056642782017697305,0.0015093778321462264,0.05714820461588152
0.22,0.002014659530645799,0.017932337376677165,0.002066967003193378,0.018287314762560927
0.24,0.0026676419817301547,6.666767808724274e-4,0.0027244306663771088,8.46631925922861e-4
0.26,0.0025505295646982696,0,0.002605370814030961,0
0.28,0.001981354655568716,0.010161594071361925,0.0020428288555130983,0.009995376431701413
0.3,0.0011737551271161246,0.02539189359264823,0.0012416328357704553,0.025088158579431967
0.32,5.746575799146368e-4,0.04074393980628362,6.234841274956799e-4,0.04034072015698918
0.34,3.026164323583719e-4,0.0526428555102576,3.282153660620955e-4,0.052181043963804324
0.36,1.9243461444646087e-4,0.059146068315103044,2.0312793824097365e-4,0.05866324589400225
0.38,2.2499023448941717e-4,0.059902241723513716,2.2283491856762579e-4,0.05942780625560773
0.4,3.077614418603598e-4,0.05585723527237868,2.9944830760026233e-4,0.055409518926094345
0.42,3.040300424530807e-4,0.04879251119157058,2.936976800296187e-4,0.04837816522531747
0.44,2.2204005772630261e-4,0.04079984072118919,2.1212462596548672e-4,0.0404153371904404
0.46,1.1563229221441568e-4,0.033794335631433164,1.1527092972648666e-4,0.03342906970788214
0.48,3.434036413891363e-5,0.029147959299378974,4.0882430756857564e-5,0.028788195517007183
0.5,0,0.027493109287362878,0,0.02712593585304079
