q_inv_angstrom,debye_radial_arginase,debye_kdt_arginase,prop_radial_arginase,prop_kdt_arginase
0,6185588522.830544,1665871910.703166,1492809047.834581,405395639.029205
0.02,5099801321.465743,1630388366.990241,1231276864.716749,396788314.060004
0.04,2992741428.321616,1527395531.995064,723663410.500257,371804310.314554
0.06,1637741640.901981,1366817651.937404,397297754.049098,332848758.82752
0.08,1247075497.063403,1163765802.25742,303608824.482831,283584022.586963
0.1,1004053458.054782,936620005.326521,245379949.052542,228465156.830594
0.12,593696354.588459,704757964.1512,146119457.769355,172189730.204304
0.14,250457184.658523,486261326.081816,62631906.36449,119142129.973881
0.16,87568407.455711,295923037.314383,22748037.087316,72910703.182038
0.18,27298897.611941,143821085.354764,7761768.09867,35941990.308839
0.2,11159633.209843,34625857.113606,3547786.281475,9372574.95519
0.22,15044815.071045,-32311946.350093,4379437.509705,-6950041.969016
0.24,19082205.793559,-62167594.001534,5360052.793134,-14275596.939927
0.26,18358099.678256,-63320406.368989,5182473.53303,-14631205.075891
0.28,14838891.016842,-45749055.971584,4343435.160291,-10432878.657641
0.3,9845502.851101,-19412939.052668,3148441.267887,-4093505.003364
0.32,6141282.508065,7133701.311287,2226464.731829,2312980.300576
0.34,4459251.997962,27709214.928088,1786067.678129,7286234.142335
0.36,3777997.779432,38954520.546512,1599498.213754,10008932.961928
0.38,3979289.189498,40262089.79471,1628891.421593,10330068.837741
0.4,4491063.593505,33267495.7169,1743161.250342,8642280.292018
0.42,4467992.34967,21051229.114132,1734584.117337,5688922.987294
0.44,3961048.245544,7230364.743859,1612916.886111,2344321.457653
0.46,3303128.994318,-4883500.834557,1468458.385806,-590098.42512
0.48,2800500.97471,-12917979.090171,1357507.008436,-2539390.165402
0.5,2588174.491277,-15779533.016856,1296530.351217,-3237583.846141
