q_inv_angstrom,debye_radial_chignolin,debye_kdt_chignolin,prop_radial_chignolin,prop_kdt_chignolin
0,1256524.662239,1270207.334522,25337906.732632,25526893.479352
0.02,1251873.065134,1265555.737416,25241062.290037,25430049.036756
0.04,1238018.53643,1251701.208713,24952647.05474,25141633.801459
0.06,1215258.415743,1228941.088025,24478941.909595,24667928.656314
0.08,1184076.93385,1197759.606132,23830173.732906,24019160.479625
0.1,1145128.756724,1158811.429006,23020165.178666,23209151.925385
0.12,1099217.009264,1112899.681546,22065867.031912,22254853.778631
0.14,1047266.76887,1060949.441152,20986794.268168,21175781.014887
0.16,990295.204503,1003977.876785,19804390.904007,19993377.650726
0.18,929379.658059,943062.330341,18541351.313141,18730338.05986
0.2,865625.0166,879307.688882,17220926.78658,17409913.533299
0.22,800131.705304,813814.377586,15866245.716751,16055232.46347
0.24,733965.545289,747648.217572,14499673.956172,14688660.702891
0.26,668130.575162,681813.247444,13142238.798124,13331225.544844
0.28,603545.740901,617228.413183,11813135.877838,12002122.624557
0.3,541026.128823,554708.801105,10529333.380211,10718320.12693
0.32,481269.165612,494951.837894,9305282.579281,9494269.326
0.34,424845.953144,438528.625427,8152738.252197,8341724.998916
0.36,372197.658775,385880.331057,7080687.221957,7269673.968676
0.38,323636.657324,337319.329606,6095378.47353,6284365.220249
0.4,279351.930178,293034.60246,5200444.19401,5389430.940729
0.42,239418.077949,253100.750231,4397097.885718,4586084.632437
0.44,203807.20103,217489.873312,3684393.499785,3873380.246504
0.46,172402.848769,186085.521051,3059528.374708,3248515.121427
0.48,145015.231405,158697.903688,2518172.609715,2707159.356434
0.5,121396.925019,135079.597301,2054808.266528,2243795.013247
