q_inv_angstrom,debye_radial_csgc,debye_kdt_csgc,prop_radial_csgc,prop_kdt_csgc
0,108646744.368261,85012537.281361,720551146.274189,565744111.768575
0.02,105692261.246096,83577349.142162,701071577.245667,556193658.935585
0.04,97326615.81661,79394010.591713,645895170.296446,528354443.330469
0.06,84909091.141024,72814625.16701,563933325.602739,484566159.266474
0.08,70304846.903545,64379529.129546,467424695.226159,428419626.395768
0.1,55429030.611754,54754476.882451,368956322.853186,364339812.992174
0.12,41837464.701826,44655447.307663,278784855.11589,297086616.990837
0.14,30480095.089863,34771371.438181,203216003.304557,231241735.683218
0.16,21663123.055789,25695001.38833,144343680.917089,170749433.327592
0.18,15187957.306892,17870524.871685,100943997.591951,118568315.025729
0.2,10581612.97891,11563685.542356,69970326.543765,76472365.822156
0.22,7321413.351858,6856596.153542,48017764.584401,45015824.776609
0.24,4984032.064798,3665730.266081,32300718.256441,23651918.632738
0.26,3296214.805976,1778345.635619,20993976.704266,10974033.928361
0.28,2108111.63525,900318.730614,13070761.959232,5032811.012196
0.3,1332832.873808,707359.516499,7919057.425302,3675918.729531
0.32,893515.537238,891903.918555,5003206.045091,4859416.398684
0.34,699911.257701,1199493.468171,3713472.735029,6889607.764259
0.36,653940.079586,1450802.848956,3400523.165866,8569858.517804
0.38,669235.603487,1548203.655751,3498730.378561,9244920.189443
0.4,687723.835084,1468364.88206,3629622.326447,8752620.441093
0.42,683682.044222,1244455.564244,3624764.835252,7306480.107432
0.44,655686.28865,942733.116839,3471611.036865,5340913.652896
0.46,613330.963691,638548.658297,3227214.395015,3352340.053285
0.48,566253.148503,396138.846299,2948251.364679,1765174.384289
0.5,519340.782472,255221.287532,2661662.521246,842733.040603
