q_inv_angstrom,debye_radial_myosinII_10s,debye_kdt_myosinII_10s,prop_radial_myosinII_10s,prop_kdt_myosinII_10s
0,1,1,1,1
0.02,0.6477120393704912,0.9784978444966332,0.6477857237939894,0.9785012270652949
0.04,0.18978153380286955,0.916166337593108,0.1899111655501654,0.9161792851824477
0.06,0.05149004819905142,0.8192406665732858,0.051579283464413726,0.8192677060373601
0.08,0.025341540074706962,0.6971916953544854,0.025393631064354986,0.697234893458455
0.1,0.011458871860506351,0.5614926599888493,0.011477934308777587,0.5615512138603976
0.12,0.007101195199488284,0.42416369629449696,0.007110559887458827,0.42423398036726107
0.14,0.0043790477855507335,0.29631030412300663,0.004388415674910046,0.29638635902652577
0.16,0.0027322748107828343,0.18686600961400018,0.0027383532522177708,0.18694038631553384
0.18,0.0018641228551804208,0.10171006573256006,0.0018721126893533734,0.10177488220931043
0.2,0.0015416265474602615,0.04326557196147736,0.0015526793353508386,0.043313609109937694
0.22,0.0011352561787362563,0.010603730107183268,0.0011466346913334149,0.010629393089861156
0.24,7.344032248266351e-4,0,7.430886091092872e-4,0
0.26,4.070138052770059e-4,0.005821136649800548,4.114717049219364e-4,0.005794800088560242
0.28,2.8427795121040394e-4,0.02157910187250797,2.8430695987471076e-4,0.021528279662317323
0.3,2.7360540177002665e-4,0.04097464449442361,2.713809628541015e-4,0.04090326091925169
0.32,2.385099393252004e-4,0.05877042207545341,2.3638230142777045e-4,0.05868375969718134
0.34,1.695570614388557e-4,0.07137603560853212,1.69006174105215e-4,0.07127988976640695
0.36,1.4298153866946692e-4,0.07708619944624168,1.4358727422896344e-4,0.07698604797489052
0.38,1.3206058738249204e-4,0.07597705645318686,1.330086406382744e-4,0.07587737647724067
0.4,1.354338212045303e-4,0.06952281624888833,1.3509084769563196e-4,0.06942664429011816
0.42,1.1414781455532868e-4,0.06003586462213777,1.1284157742634487e-4,0.05994464648407165
0.44,8.160779852106507e-5,0.05005230404940806,8.066541491912675e-5,0.0499660268593288
0.46,3.140551035198551e-5,0.04178006351581646,3.123845773479902e-5,0.04169761393676707
0.48,6.601403523923461e-7,0.03670124397486384,7.655499663093336e-7,0.03662090230915807
0.5,0,0.035380817183717314,0,0.03530078208935866
