q_inv_angstrom,debye_radial_myosinII_10s,debye_kdt_myosinII_10s,prop_radial_myosinII_10s,prop_kdt_myosinII_10s
0,85409710276.47684,5028538109.585981,18816506860.028065,1111597513.145021
0.02,55327466945.60786,4915312029.335145,12191589501.578497,1086642418.742092
0.04,16224294437.250618,4587086693.893353,3579272188.444639,1014301083.365239
0.06,4415437520.631493,4076695361.10171,977341066.490714,901809193.077001
0.08,2182588624.148808,3434009719.302304,484806280.575312,760157371.021358
0.1,997132832.372534,2719445550.799996,223061237.234074,602660055.077324
0.12,625026191.430988,1996298503.445312,140913815.709002,443266561.533397
0.14,392579130.957398,1323047933.748514,89712085.216484,294865093.717637
0.16,251959436.633625,746736016.037165,58675503.43913,167823676.548464
0.18,177827018.568771,298321728.723228,42382091.930288,68966257.973984
0.2,150288716.139108,-9435367.578488,36373762.016479,1106264.590121
0.22,115588318.508243,-181426139.682958,28736331.076902,-36832537.719385
0.24,81359058.791677,-237263276.377749,21145896.43053,-49170800.410421
0.26,53402928.343037,-206610326.939345,14908402.00364,-42444380.084232
0.28,42922383.334187,-123632011.829644,12516517.336383,-24181455.533043
0.3,42011042.995867,-21498936.609642,12273387.889844,-1691591.214263
0.32,39014204.162124,72210093.640847,11615086.238635,18947448.366369
0.34,33126244.64391,138588750.854256,10347785.888824,33568637.024149
0.36,30856932.513103,168657339.504947,9869673.210267,40192164.664691
0.38,29924380.877128,162816812.794887,9670696.115816,38905253.920077
0.4,30212424.897892,128830065.781749,9709861.052078,31417448.398033
0.42,28394790.169701,78873662.757035,9291367.008033,20411045.795572
0.44,25616163.620602,26302215.656302,8686154.692909,8828180.322148
0.46,21329336.8844,-17257760.01051,7756466.35048,-769531.401754
0.48,18703957.067353,-44001814.988318004,7183291.129383,-6662417.396141
0.5,18647586.981138,-50954920.215201,7168891.641335,-8194771.117368
