q_inv_angstrom,debye_radial_phgdh,debye_kdt_phgdh,prop_radial_phgdh,prop_kdt_phgdh
0,2768117657.499056,782599357.081179,3375797450.84827,954667337.619821
0.02,2456694755.103762,766199607.25252,2995789299.935581,934672011.223397
0.04,1740542748.460857,718590414.292377,2122076803.913688,876624009.408003
0.06,1034499640.715937,644335765.590679,1261052489.699737,786086018.715277
0.08,568229063.966197,550386151.830494,692826322.36867094,671529610.770502
0.1,319203637.901145,445198092.141227,389580481.934754,543262304.019159
0.12,189690728.66379,337691330.301659,231883550.601063,412156782.203769
0.14,119759900.834497,236195539.610679,146659681.514057,288367276.98939
0.16,80397951.845429,147534996.203817,98611632.411289,180214011.816525
0.18,53687358.08987,76372945.112205,65915913.878577,93384035.459729
0.2,32337464.961789,24892389.58155,39695448.470997,30541958.698596
0.22,17046930.327125,-7165144.128544,20860415.766812,-8623118.269222
0.24,9258804.634757,-22137128.546139,11229625.7757,-26956203.81884
0.26,7038658.617733,-23835259.764759,8453643.642952,-29099710.737561
0.28,6744159.071656,-16810883.367913,8071820.248401,-20598499.915771
0.3,6371234.709857,-5613836.572694,7618660.796916,-6996790.219545
0.32,5554519.192913,5842272.604659,6625696.99047,6935354.971617
0.34,4374034.320349,14723313.547791,5179831.919516,17742338.24845
0.36,3385241.438145,19481106.442672,3965782.510472,23534909.536742
0.38,3020043.074571,19821578.960174,3517860.605637,23951702.3949
0.4,2994270.75519,16472940.616827,3489204.773334,19877092.420993
0.42,2992327.954084,10821547.314199,3490594.151551,12997793.901259
0.44,2949686.716571,4497662.908162,3437787.837664,5298328.05541
0.46,2778161.443298,-1008199.792361,3222841.263943,-1406348.746319
0.48,2535537.076369,-4633483.244735,2921513.673967,-5822013.449847
0.5,2364121.156789,-5897291.909644,2710175.855536,-7362558.775534
