q_inv_angstrom,debye_radial_rubisco,debye_kdt_rubisco,prop_radial_rubisco,prop_kdt_rubisco
0,1396607762372.9873,40319748959.53484,-196220884659.61047,-5660485133.487255
0.02,703540229997.5616,39358252288.723114,-98865232512.7117,-5525100463.955203
0.04,151647286940.30063,36573443409.66696,-21321557997.24404,-5132979369.052912
0.06,23580523248.09616,32250901097.747795,-3304688511.076468,-4524325166.389653
0.08,1349438365.441013,26823794919.81485,-172123481.644202,-3760119564.170184
0.1,5289986334.858617,20815649918.036472,-735894844.752665,-2914066102.416708
0.12,2767727402.536146,14772924030.694944,-381789006.855882,-2063099471.126579
0.14,501704933.160002,9197508180.621971,-52439598.800894,-1277883676.289415
0.16,446109211.301531,4488961498.67771,-44647613.5967,-614680202.548325
0.18,257394932.761699,904418133.201311,-18247189.006911,-109703310.25357
0.2,255179777.441636,-1458993229.204741,-17300448.309041,223356023.015306
0.22,193927241.945596,-2658129048.804777,-8499468.7266,392484217.689898
0.24,128676037.869492,-2876873963.296257,631747.416175,423552078.959299
0.26,83982169.382082,-2384027694.913684,7005710.886068,354388114.880933
0.28,58696210.301151,-1483798324.396582,10701522.105729,227810645.668853
0.3,51485583.557217,-467234131.657477,11616405.615453,84791412.816738
0.32,55842240.050374,427932391.352168,10951363.313891,-41197373.62945
0.34,55283057.736373,1043604644.933132,10935275.54939,-127889054.609387
0.36,31858011.8878,1311188571.880564,14190892.030909,-165613009.065283
0.38,25447982.996906,1245406777.976742,15217840.388264,-156425817.319113
0.4,31460709.507641,925144404.620559,14392011.58494,-111416979.634028
0.42,25957070.300899,466308822.016228,15069076.338743,-46890205.391096
0.44,26447997.909957,-7478725.802785,14922748.854677,19760979.613651
0.46,28769430.415358,-390828703.684482,14573342.364501,73704918.848904
0.48,22059339.450089,-614895704.649981,15567541.973266,105249728.755519
0.5,19156257.49651,-655701349.715866,16017007.853081,111015658.876796
