q_inv_angstrom,debye_radial_titin_homologue,debye_kdt_titin_homologue,prop_radial_titin_homologue,prop_kdt_titin_homologue
0,33734258427.934498,2558154724.884295,5238920165.688904,408667384.284585
0.02,24863938203.94908,2503816306.727286,3873882298.978524,399996876.417785
0.04,9727815651.465591,2346158405.454667,1540322596.295276,374841413.689276
0.06,2089532023.81089,2100548653.219397,349484274.543906,335656543.119384
0.08,613001576.464948,1790359196.675148,104813528.169183,286176570.744548
0.1,516159800.881612,1443964073.626938,83126239.602145,230934458.95489
0.12,512966614.666426,1091190533.874918,81585486.911495,174694453.417467
0.14,432606172.171156,759746942.406863,68182230.577339,121881035.898037
0.16,310689006.522564,472136652.167559,49502392.919453,76085673.00767
0.18,202229359.750528,243473077.301914,33425292.624823,39717762.079547
0.2,121082741.273739,80454147.116816,20888202.455944,13841045.76544
0.22,95493312.724784,-18437284.733998,16720096.699024,-1793888.693717
0.24,83855140.51615,-61633283.637521,14785970.011132,-8541250.392914
0.26,59815194.777162,-62368751.112686,11042889.301356,-8521901.526701
0.28,40113304.99981,-36150079.371484,8087649.897974,-4218270.478445
0.3,28092892.850615,1769279.522649,6285212.579368,1929487.934407
0.32,20535439.506268,38519351.434036,5140029.873329,7864178.500854
0.34,17245699.00208,65063783.285854,4646596.449054,12143279.530952
0.36,16384692.682141,76823288.073286,4498942.612571,14038307.766872
0.38,14310758.422537,73478760.001969,4155370.808068,13502891.500623
0.4,12259815.471999,58097902.388575,3802224.959955,11032607.547797
0.42,11952614.648395,35828468.089362,3730833.031292,7455516.953541
0.44,11456608.105563,12447815.474673,3643200.339094,3699784.675349
0.46,10249424.242373,-6951318.340167,3450238.37264,583190.651832
0.48,9481623.923953,-18918227.715237,3339881.179873,-1340160.584211
0.5,8916754.436512,-22117522.420482,3253834.787676,-1855563.491096
