q_inv_angstrom,debeye_radial_chignolin,debeye_kdt_chignolin,prop_radial_chignolin,prop_kdt_chignolin
0,68.945112,59.190597,138832.10612,117768.863855
0.02,68.68988,59.030734,138301.189745,117439.617564
0.04,67.929686,58.553335,136720.052336,116456.455215
0.06,66.680846,57.764925,134123.126674,114833.018008
0.08,64.969928,56.676243,130566.478104,112591.748714
0.1,62.832854,55.302036,126125.884577,109763.459912
0.12,60.31369,53.66078,120894.272947,106386.743472
0.14,57.463197,51.77433,114978.627359,102507.234806
0.16,54.337185,49.667513,108496.507266,98176.748692
0.18,50.994769,47.367665,101572.326772,93452.306267
0.2,47.496572,44.904131,94333.553089,88395.075168
0.22,43.902974,42.307731,86906.979681,83069.246542
0.24,40.272458,39.610208,79415.219647,77540.873854
0.26,36.660114,36.843673,71973.547896,71876.698955
0.28,33.116364,34.040048,64687.197902,66142.990835
0.3,29.685933,31.230537000000002,57649.191907,60404.421761
0.32,26.407087,28.445114,50938.754054,54723.004226
0.34,23.311163,25.712058,44620.32587,49157.110278
0.36,20.422368,23.057528,38743.174524,43760.592458
0.38,17.757841,20.505201,33341.557927,38582.022794
0.4,15.327952,18.075964,28435.388297,33664.063144
0.42,13.136794,15.787677,24031.318244,29042.976809
0.44,11.182837,13.655008,20124.16138,24748.287727
0.46,9.45969,11.689328,16698.553076,20802.589937
0.48,7.95694,9.898689,13730.75614,17221.506339
0.5,6.661011,8.287866,11190.52037,14013.792277
