q_inv_angstrom,debeye_radial_csgc,debeye_kdt_csgc,prop_radial_csgc,prop_kdt_csgc
0,182.298089,29.021142,120813.92213,19150.381281
0.02,177.34077,28.917129,117547.130116,19081.132444
0.04,163.304075,28.606787,108293.853245,18874.516347
0.06,142.468743,28.095176,94548.564566,18533.899843
0.08,117.964319,27.390602,78363.728933,18064.813668
0.1,93.004226,26.504449,61850.237697,17474.833526
0.12,70.198973,25.450924,46728.166453,16773.41778
0.14,51.142472,24.246762,34055.005092,15971.70577
0.16,36.348498,22.910868,24181.910246,15082.281773
0.18,25.483834,21.463921,16903.631211,14118.910395
0.2,17.754861,19.927941,11709.237995,13096.24991
0.22,12.28458,18.325839,8027.716398,12029.550506
0.24,8.362694,16.680949,5391.912631,10934.344736
0.26,5.53071,15.016563,3495.732436,9826.137565
0.28,3.537195,13.355476,2166.981548,8720.103334
0.3,2.236357,11.719555,1303.022638,7630.796675
0.32,1.499227,10.129327,814.02414,6571.883968
0.34,1.174379,8.603626,597.731343,5555.901287
0.36,1.097244,7.159267,545.248603,4594.044026
0.38,1.122909,5.810791,561.718297,3695.992491
0.4,1.15393,4.57026,583.669335,2869.776748
0.42,1.147148,3.447113,582.854717,2121.682941
0.44,1.100174,2.448093,557.170288,1456.202204
0.46,1.029106,1.577234,516.184114,876.022166
0.48,0.950115,0.835908,469.401036,382.059943
0.5,0.871401,0.222937,421.339082,-26.465495
