q_inv_angstrom,debeye_radial_gpx,debeye_kdt_gpx,prop_radial_gpx,prop_kdt_gpx
0,179.352881,9.079359,29389.422693,1483.686582
0.02,166.616099,9.045321,27298.315017,1478.086476
0.04,133.936424,8.943773,21934.492047,1461.379745
0.06,94.174005,8.776411,15412.380734,1433.845097
0.08,59.508036,8.546016,9733.129661,1395.940268
0.1,35.557888,8.256397,5817.212818,1348.29203
0.12,21.269316,7.912308,3486.449954,1291.682561
0.14,12.827998,7.519346,2109.797394,1227.032513
0.16,7.312664,7.083826,1206.212484,1155.381206
0.18,3.641331,6.612651,600.325534,1077.864431
0.2,1.576085,6.113166,256.676351,995.69043
0.22,0.746652,5.593001,116.840805,910.114625
0.24,0.564602,5.059914,84.682772,822.41372
0.26,0.568917,4.52164,84.088394,733.859811
0.28,0.5708,3.985726,83.747869,645.695103
0.3,0.535673,3.459398,77.885943,559.107846
0.32,0.461718,2.949412,65.993757,475.210032
0.34,0.363669,2.461944,50.140978,395.017361
0.36,0.277944,2.002478,36.095654,319.431905
0.38,0.232189,1.575718,28.454224,249.227834
0.4,0.220387,1.185528,26.393239,185.040471
0.42,0.21863,0.834881,26.061123,127.358858
0.44,0.213138,0.525839,25.162386,76.521926
0.46,0.204567,0.25954700000000003,23.763566,32.718253
0.48,0.195013,0.036259,22.212683,-4.010691
0.5,0.182212,-0.144626,20.161255,-33.763982
