q_inv_angstrom,debeye_radial_kdelr1,debeye_kdt_kdelr1,prop_radial_kdelr1,prop_kdt_kdelr1
0,170.09432,16.298003,60024.192495,5706.308552
0.02,163.226285,16.240851,57598.261686,5686.110248
0.04,144.167415,16.070318,50866.236232,5625.842316
0.06,117.02905,15.78916,41280.28419,5526.478676
0.08,87.141471,15.401905,30723.293111,5389.619286
0.1,59.447649,14.914753,20941.583399,5217.45589
0.12,37.261788,14.335447,13106.263105,5012.725258
0.14,21.789073,13.673109,7643.286629,4778.651089
0.16,12.428035,12.938044,4339.973598,4518.875991
0.18,7.55505,12.141529,2622.071083,4237.385231
0.2,5.367213,11.295575,1851.747285,3938.424107
0.22,4.454491,10.412682,1530.144987,3626.410955
0.24,3.988791,9.505589,1364.554226,3305.847873
0.26,3.619285,8.587019,1231.53507,2981.231312
0.28,3.255083,7.669429,1099.913316,2656.964611
0.3,2.887475,6.76478,967.559523,2337.274525
0.32,2.511348,5.88431,833.246127,2026.133629
0.34,2.122264,5.038344,695.464072,1727.19031
0.36,1.734447,4.236113,558.884669,1443.707861
0.38,1.38208,3.485619,435.085262,1178.513886
0.4,1.100568,2.793517,336.182314,933.960997
0.42,0.90559,2.165043,267.553859,711.899425
0.44,0.786334,1.603967,225.427327,513.661887
0.46,0.715008,1.112588,200.129108,340.060704
0.48,0.662818,0.691756,181.621581,191.396879
0.5,0.611276,0.340933,163.442893,67.480517
