q_inv_angstrom,debeye_radial_plastocyanin,debeye_kdt_plastocyanin,prop_radial_plastocyanin,prop_kdt_plastocyanin
0,186.836133,31.009733,123269.563268,20520.719172
0.02,182.772539,30.895955,120607.252593,20444.858913
0.04,171.06382,30.556501,112933.891352,20218.530368
0.06,153.069864,29.996964,101134.395521,19845.463026
0.08,130.789167,29.226533,86510.297032,19331.782686
0.1,106.520472,28.257791,70560.678666,18685.878811
0.12,82.49886,27.106447,54746.17716,17918.223483
0.14,60.58076,25.790995,40284.104957,17041.146495
0.16,42.035025,24.332321,28011.726889,16068.572173
0.18,27.467648,22.753261,18335.771476,15015.72443
0.2,16.874663,21.07812,11264.99991,13898.807341
0.22,9.790211,19.332172,6504.863185,12734.669046
0.24,5.481305,17.541138,3583.135019,11540.457125
0.26,3.139653,15.730672,1974.464975,10333.273754
0.28,2.0321,13.925854,1198.831516,9129.838793
0.3,1.589693,12.15071,880.630371,7946.168697
0.32,1.43465,10.427763,767.581082,6797.278589
0.34,1.359396,8.777633,718.295986,5696.914155
0.36,1.279128,7.218688,672.245041,4657.319128
0.38,1.179037,5.766751,615.784954,3689.043132
0.4,1.071379,4.434884,554.210476,2800.79353
0.42,0.969318,3.233234,494.499968,1999.333725
0.44,0.877024,2.168948,438.577283,1289.429101
0.46,0.790812,1.246167,383.826076,673.840575
0.48,0.704862,0.466082,326.663461,153.364476
0.5,0.616332,-0.172934,265.78514,-273.083699
