q_inv_angstrom,debeye_radial_strip1_iso2,debeye_kdt_strip1_iso2,prop_radial_strip1_iso2,prop_kdt_strip1_iso2
0,174.979838,3.733547,13956.286962,296.409434
0.02,150.234398,3.719836,11983.917108,295.311777
0.04,96.543608,3.678932,7703.84417,292.037065
0.06,49.380526,3.611513,3942.923969,286.639681
0.08,22.782066,3.518696,1820.61851,279.208941
0.1,10.530964,3.402007,842.174897,269.867148
0.12,4.826013,3.263354,385.758096,258.766937
0.14,2.25492,3.104979,179.394713,246.08798
0.16,1.308624,2.929418,103.168379,232.033118
0.18,1.05874,2.739438,82.932261,216.824048
0.2,0.940672,2.537985,73.232415,200.696634
0.22,0.779459,2.328122,60.081977,183.895987
0.24,0.644375,2.112962,49.123075,166.671416
0.26,0.519287,1.895609,39.069966,149.271387
0.28,0.373081,1.679093,27.405986,131.93859
0.3,0.276544,1.466316,19.710752,114.905252
0.32,0.257561,1.259994,18.193327,98.388787
0.34,0.250452,1.062609,17.638525,82.587892
0.36,0.214077,0.876365,14.732536,67.679161
0.38,0.177942,0.70316,11.829256,53.814303
0.4,0.162375,0.54455,10.576501,41.118001
0.42,0.154677,0.401738,9.941758,29.686464
0.44,0.153249,0.27556,9.806219,19.586665
0.46,0.151613,0.166487,9.682207,10.856295
0.48,0.134278,0.074633,8.320196,3.504383
0.5,0.111047,-2.32e-4,6.48647,-2.487432
