Q,I_Q,
0.02,101.536694964,
0.04,15.516679974,
0.06,1.58089433112,
0.08,1.51509771051,
0.1,0.878429198087,
0.12,0.668934682064,
0.14,0.609254152908,
0.16,0.41463132804,
0.18,0.284824407263,
0.2,0.206902943904,
0.22,0.146317777578,
0.24,0.0953292671624,
0.26,0.066924703861,
0.28,0.0569998470845,
0.3,0.0435630516374,
0.32,0.0268860354789,
0.34,0.0190319108695,
0.36,0.0153291942159,
0.38,0.0123698002062,
0.4,0.0109387839106,
0.42,0.00905055431429,
0.44,0.00846455208218,
0.46,0.00843427254621,
0.48,0.00802075046111,
0.5,0.00755107127457,
